topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 548.850732278, ""utc_time"": 1616701332.7585144, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701332785}",0,1,1616701343.115979,0.009166955947875977
l99/${deviceId}/evt/read,"[{""address"": ""%I0.5"", ""keys"": [""IN6"", ""printer.data_ready"", ""J2.P6"", ""SX1.P5""], ""value"": 1, ""_ts"": 1616701347799}]",0,0,1616701347.779291,4.663311958312988
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701348.890147,1.110856056213379
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 565.088255103, ""utc_time"": 1616701348.996039, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701349000}",0,0,1616701349.0526001,0.16245317459106445
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701349100}]",0,0,1616701349.079391,0.026790857315063477
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 565.101515084, ""utc_time"": 1616701349.0092971, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701349100}",0,0,1616701349.082923,0.003531932830810547
l99/${deviceId}/evt/read,"[{""address"": ""%M55.2"", ""keys"": [""metric.fault_count""], ""value"": 27, ""_ts"": 1616701349101}]",0,0,1616701349.08317,0.00024700164794921875
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616701349101}]",0,0,1616701349.083363,0.00019311904907226562
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 565.107823031, ""updated"": 565.117861418, ""count"": 2}, ""14"": {""description"": ""no printer data"", ""hard"": true, ""added"": 565.108161138, ""updated"": 565.108162675, ""count"": 1}}, ""cpu_time"": 565.116304269, ""utc_time"": 1616701349.0240862, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701349101}",0,0,1616701349.0835578,0.00019478797912597656
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701349102}]",0,0,1616701349.083766,0.00020813941955566406
