topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 831.642303097, ""updated"": 835.889512997, ""count"": 422}}, ""cpu_time"": 835.821080277, ""utc_time"": 1616701619.728864, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701619803}",0,1,1616701654.508427,0.008666038513183594
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 1, ""_ts"": 1616701657841}]",0,0,1616701657.8635259,3.3550989627838135
l99/${deviceId}/evt/read,"[{""address"": ""%I0.6"", ""keys"": [""IN7"", ""product.sensor_one"", ""J1.12"", ""SX1.P6""], ""value"": 0, ""_ts"": 1616701657942}]",0,0,1616701657.914121,0.05059504508972168
l99/${deviceId}/evt/read,"[{""address"": ""%M55.4"", ""keys"": [""metric.transport_time""], ""value"": 0.1003160629999229, ""_ts"": 1616701658043}]",0,0,1616701658.015211,0.1010901927947998
l99/${deviceId}/evt/read,"[{""address"": ""%M55.5"", ""keys"": [""metric.printer_time""], ""value"": 0, ""_ts"": 1616701658044}]",0,0,1616701658.018251,0.003039836883544922
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0, ""_ts"": 1616701658044}]",0,0,1616701658.0187678,0.0005168914794921875
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""print_job_with_dancer_arm"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 831.642303097, ""updated"": 874.135236403, ""count"": 4222}}, ""cpu_time"": 874.097676693, ""utc_time"": 1616701658.0054603, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701658045}",0,0,1616701658.019279,0.00051116943359375
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 0, ""_ts"": 1616701658046}, {""address"": ""%Q0.4"", ""keys"": [""OUT5"", ""tamp.air_assist"", ""J5.1"", ""SX2.P4""], ""value"": 1, ""_ts"": 1616701658046}]",0,0,1616701658.019985,0.0007059574127197266
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.5"", ""keys"": [""OUT6"", ""tamp.vacuum"", ""J5.2"", ""SX2.P5""], ""value"": 1, ""_ts"": 1616701658046}]",0,0,1616701658.021193,0.0012080669403076172
l99/${deviceId}/evt/read,"[{""address"": ""%M55.10"", ""keys"": [""metric.print_sig_time""], ""value"": 0.10973541800001385, ""_ts"": 1616701658143}]",0,0,1616701658.11424,0.09304690361022949
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.0"", ""keys"": [""OUT1"", ""printer.start_print"", ""J2.7"", ""SX2.P0""], ""value"": 1, ""_ts"": 1616701658143}]",0,0,1616701658.117471,0.003231048583984375
l99/${deviceId}/evt/read,"[{""address"": ""%I0.2"", ""keys"": [""IN3"", ""printer.print_end"", ""J2.3"", ""SX1.P2""], ""value"": 1, ""_ts"": 1616701658244}]",0,0,1616701658.217621,0.10015010833740234
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 0, ""_ts"": 1616701658245}]",0,0,1616701658.223527,0.005905866622924805
l99/${deviceId}/evt/read,"[{""address"": ""%I0.13"", ""keys"": [""IN14"", ""web.dancer_arm"", ""J3.10"", ""SX1.P13""], ""value"": 1, ""_ts"": 1616701658445}]",0,0,1616701658.418161,0.19463396072387695
l99/${deviceId}/evt/read,"[{""address"": ""%Z55.0"", ""keys"": [""web.take_up_motor.anti_twitch_counter""], ""value"": 1, ""_ts"": 1616701658446}]",0,0,1616701658.421249,0.0030879974365234375
