topic,message,qos,retain,time_now,time_delta
l99/ccs/evt/query,"[{""address"": ""%M56.5"", ""default"": 0.5}]",0,0,1,0.1
l99/ccs/evt/status,"{""connection"": ""online"", ""powered"": ""on"", ""program"": ""pg9999"", ""step"":""step1"", ""faults"": {""1"":{""description"": ""interesting error""}}}",0,1,0,0
l99/ccs/evt/read,"[{""address"": ""%Z61.0"", ""value"": {""kit_count"":1, ""kit_number"": 1, ""sales_order_number"": 12345}}]",0,0,0,0
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 1}]",0,0,0,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 1}]",0,0,0,4
l99/ccs/evt/read,"[{""address"": ""%Z61.3"", ""value"": true}]",0,0,0,1
l99/ccs/evt/read,"[{""address"": ""%Z61.0"", ""value"": {""kit_count"":8, ""kit_number"": 2, ""sales_order_number"": 23456}}]",0,0,0,0
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 1}]",0,0,0,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 2}]",0,0,1,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 3}]",0,0,2,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 4}]",0,0,3,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 5}]",0,0,4,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 1}]",0,0,5,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 2}]",0,0,6,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 6}]",0,0,7,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 7}]",0,0,7,1
l99/ccs/evt/read,"[{""address"": ""%Z61.5"", ""value"": 8}]",0,0,7,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 3}]",0,0,8,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 4}]",0,0,9,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 5}]",0,0,10,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 6}]",0,0,11,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 7}]",0,0,11,1
l99/ccs/evt/read,"[{""address"": ""%Z61.6"", ""value"": 8}]",0,0,11,1
l99/ccs/evt/read,"[{""address"": ""%Z61.3"", ""value"": true}]",0,0,0,1
