topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/query,"[{""address"": ""%M56.1"", ""keys"": [""%M56.1"", ""printer_start_print_duration""], ""value"": 1 }]",0,1,1616701190,0.0097
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 282.025067024, ""utc_time"": 1616701065.9328506, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701066007}",0,1,1616701191.275063,0.009734869003295898
l99/${deviceId}/cmd/write,"[{""name"":""%M56.5"",""value"":0.7}]",0,0,1616701211.013003,1.737940073013306
l99/${deviceId}/evt/read,"[{""address"": ""%M56.5"", ""keys"": [""product.sensor_one.delay""], ""value"": 0.7, ""_ts"": 1616701211141}]",0,0,1616701211.126136,0.11313295364379883
l99/${deviceId}/cmd/write,"[{""name"":""%M56.5"",""value"":0.1}]",0,0,1616701215.503874,1.377737998962402
l99/${deviceId}/evt/read,"[{""address"": ""%M56.5"", ""keys"": [""product.sensor_one.delay""], ""value"": 0.1, ""_ts"": 1616701215646}]",0,0,1616701215.6314209,0.1275467872619629
l99/${deviceId}/cmd/write,"[{""name"":""%M56.11"",""value"":1}]",0,0,1616701219.820707,1.189286231994629
l99/${deviceId}/evt/read,"[{""address"": ""%M56.11"", ""keys"": [""product.sensor_aux.enabled""], ""value"": 1, ""_ts"": 1616701219950}]",0,0,1616701219.934777,0.11406993865966797
l99/${deviceId}/cmd/write,"[{""name"":""%M56.11"",""value"":0}]",0,0,1616701221.033736,1.098958969116211
l99/${deviceId}/evt/read,"[{""address"": ""%M56.11"", ""keys"": [""product.sensor_aux.enabled""], ""value"": 0, ""_ts"": 1616701221150}]",0,0,1616701221.136641,0.1029050350189209
l99/${deviceId}/cmd/write,"[{""name"":""%M56.6"",""value"":0.25}]",0,0,1616701227.293098,1.15645694732666
l99/${deviceId}/evt/read,"[{""address"": ""%M56.6"", ""keys"": [""tamp.cylinder.extend_duration""], ""value"": 0.25, ""_ts"": 1616701227456}]",0,0,1616701227.4408991,0.14780116081237793
l99/${deviceId}/cmd/write,"[{""name"":""%M56.0"",""value"":0}]",0,0,1616701231.9900951,1.549196004867554
l99/${deviceId}/evt/read,"[{""address"": ""%M56.0"", ""keys"": [""tamp.vacuum.delay""], ""value"": 0, ""_ts"": 1616701232160}]",0,0,1616701232.1946099,0.204514741897583
l99/${deviceId}/cmd/write,"[{""name"":""%M55.1"",""value"":0}]",0,0,1616701238.749645,1.55503511428833
l99/${deviceId}/cmd/write,"[{""name"":""%M55.2"",""value"":0}]",0,0,1616701238.753171,0.003525972366333008
l99/${deviceId}/evt/read,"[{""address"": ""%M55.1"", ""keys"": [""metric.cycle_count""], ""value"": 0, ""_ts"": 1616701238869}]",0,0,1616701238.8527071,0.09953618049621582
