Number,Severity,Description,System Affected
1,Hard,print end signal not received,feeder
2,Hard,cylinder did not leave home (head up),end-effector
3,Hard,cylinder did not return home (head down),end-effector
4,Hard,take up motor operation changed,controller
5,Hard,smart tamp out of position,end-effector
10,Hard,e-stop activated,controller
11,Hard,out of media,feeder
12,Hard,out of ribbon,feeder
13,Hard,printer service required,feeder
14,Hard,no printer data,feeder
15,Hard,take up motor timeout,feeder
50,Soft,low ribbon,feeder
51,Soft,media low,feeder
