topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": null, ""faults"": {}, ""cpu_time"": 58.924252871, ""utc_time"": 1605737876.2684767, ""build_no"": ""1.3.0.2"", ""_ts"": 1605737876335}",0,1,1616700947.9427469,0.008334875106811523
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616700956.334771,8.392024040222168
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 172.631447913, ""utc_time"": 1616700956.5392327, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956611}",0,0,1616700956.6029,0.2681291103363037
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616700956611}]",0,0,1616700956.605946,0.0030460357666015625
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 172.653760587, ""utc_time"": 1616700956.5615447, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956612}",0,0,1616700956.606433,0.0004868507385253906
l99/${deviceId}/evt/read,"[{""address"": ""%M55.2"", ""keys"": [""metric.fault_count""], ""value"": 23, ""_ts"": 1616700956612}]",0,0,1616700956.606816,0.00038313865661621094
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616700956613}]",0,0,1616700956.607192,0.00037598609924316406
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 172.658587069, ""updated"": 172.679725191, ""count"": 2}, ""14"": {""description"": ""no printer data"", ""hard"": true, ""added"": 172.659249807, ""updated"": 172.659252862, ""count"": 1}}, ""cpu_time"": 172.674853728, ""utc_time"": 1616700956.582638, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956613}",0,0,1616700956.607571,0.0003788471221923828
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616700956614}]",0,0,1616700956.609171,0.001600027084350586
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 50, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 172.683562473, ""utc_time"": 1616700956.591346, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956614}",0,0,1616700956.609567,0.0003960132598876953
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 100, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 172.689129377, ""utc_time"": 1616700956.5969126, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956615}",0,0,1616700956.6100092,0.00044226646423339844
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616700956615}]",0,0,1616700956.610421,0.00041174888610839844
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""fault"", ""faults"": {}, ""cpu_time"": 172.704011246, ""utc_time"": 1616700956.6117938, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700956616}",0,0,1616700956.610799,0.0003781318664550781
l99/${deviceId}/evt/read,"[{""address"": ""%I0.5"", ""keys"": [""IN6"", ""printer.data_ready"", ""J2.P6"", ""SX1.P5""], ""value"": 0, ""_ts"": 1616700960210}]",0,0,1616700960.206665,3.5958659648895264
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616700961.143876,0.9372110366821289
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 177.38375516, ""utc_time"": 1616700961.291537, ""build_no"": ""1.3.0.2"", ""_ts"": 1616700961316}",0,0,1616700961.34875,0.20487403869628906
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616700961316}]",0,0,1616700961.352012,0.0032618045806884766
