topic,message,qos,retain,time_now,time_delta
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {""50"": {""description"": ""low ribbon"", ""hard"": false, ""added"": 592.447980109, ""updated"": 592.518187181, ""count"": 8}}, ""cpu_time"": 592.452683929, ""utc_time"": 1616701376.3604677, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701376431}",0,1,1616701408.226215,0.008391857147216797
l99/${deviceId}/cmd/runstate/action=stop,{},0,0,1616701412.622262,4.396047115325928
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 100, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {}, ""cpu_time"": 628.832090415, ""utc_time"": 1616701412.7398727, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701412760}",0,0,1616701412.7379148,0.11565279960632324
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 0, ""_ts"": 1616701412760}, {""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 1, ""_ts"": 1616701412760}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 0, ""_ts"": 1616701412760}]",0,0,1616701412.7408261,0.0029113292694091797
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 200, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_sensor_one"", ""faults"": {}, ""cpu_time"": 628.845279968, ""utc_time"": 1616701412.7530644, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701412761}",0,0,1616701412.741342,0.0005159378051757812
l99/${deviceId}/cmd/runstate/action=run,{},0,0,1616701415.411232,2.6698899269104004
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 300, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 631.580140444, ""utc_time"": 1616701415.4879234, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701415562}",0,0,1616701415.5409422,0.12971019744873047
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.10"", ""keys"": [""OUT11"", ""andon.red"", ""J3.P8"", ""SX2.P10""], ""value"": 0, ""_ts"": 1616701415563}]",0,0,1616701415.543895,0.0029528141021728516
l99/${deviceId}/evt/status,"{""connection"": ""online"", ""state"": 400, ""program"": ""emergent_pa_rc2"", ""step"": ""wait_for_printer_data_ready"", ""faults"": {}, ""cpu_time"": 631.595047171, ""utc_time"": 1616701415.5028298, ""build_no"": ""1.3.0.2"", ""_ts"": 1616701415564}",0,0,1616701415.5442472,0.0003521442413330078
l99/${deviceId}/evt/read,"[{""address"": ""%Q0.9"", ""keys"": [""OUT10"", ""andon.green"", ""J3.P7"", ""SX2.P9""], ""value"": 1, ""_ts"": 1616701415564}, {""address"": ""%Q0.11"", ""keys"": [""OUT12"", ""andon.yellow"", ""J3.P9"", ""SX2.P11""], ""value"": 1, ""_ts"": 1616701415564}]",0,0,1616701415.5446742,0.00042700767517089844
